idx,srcType,factoryName,area1,area2,area3,address,Latitude,Longitude,Product,yearPermitted,yearClosed,Remarks
1253,repa,부광엔지니어링,부산,사상,감전,부산시 사상구 감전동?953-26,35.152624,128.99125,,0,0,
1254,repa,㈜케이티엠에스,부산,사상,감전,부산 사상구 감전동?133-4,35.152624,128.99125,,0,0,
1255,repa,해동산업,부산,사상,감전,부산 사상구 감전동?504-17,35.152624,128.99125,,0,0,
1256,repa,KBC 엔지니어링,부산,사상,괘법,부산 사상구 괘법동?563-3,35.152624,128.99125,,0,0,
1257,repa,보성산업,부산,사상,괘법,부산 사상구 괘법동?570-8번지 보성..,35.152624,128.99125,,0,0,
1258,repa,동양수산기계(주),부산,사상,학장,부산시 사상구 학장동?237-13,35.152624,128.99125,,0,0,
1259,repa,(주)엔피알티,부산,사하,감천,부산 사하구 감천동?774-3,35.1045772,128.974817,,0,0,
1260,repa,동양아연금속공업사,부산,사하,감천,부산시 사하구 감천동?707-6(26/1..,35.1045772,128.974817,,0,0,
1261,repa,동일조선(주),부산,사하,감천,부산 사하구 감천동 391-1,35.0852459,129.0051734,,0,0,
1262,repa,동일조선공업(주),부산,사하,감천,부산 사하구 감천동 405-11,35.0857737,129.0045354,,0,0,
1263,repa,동일해운,부산,사하,감천,부산 사하구 감천1동 391-1,35.0852459,129.0051734,,0,0,
1264,repa,만물조선,부산,사하,감천,부산시 사하구 감천1동?213(6/1),35.1045772,128.974817,,0,0,
1265,repa,수양조선소,부산,사하,감천,부산 사하구 감천2동 551-5,35.0905399,129.0057728,,0,0,
1266,repa,킴스마린서비스(주),부산,사하,감천,부산시 사하구 감천동?405-11,35.1045772,128.974817,,0,0,
1267,repa,동광선박공업사,부산,사하,괴정,부산 사하구 괴정 3동 477-33,35.0958533,128.9941155,,0,0,
1268,repa,(주)디에이치이,부산,사하,구평,부산시 사하구 구평동?248,35.1045772,128.974817,,0,0,
1269,repa,(주)민경수산,부산,사하,구평,부산시 사하구 구평동?479-5,35.1045772,128.974817,,0,0,
